ISO_country_code,GNI_Per_Capita_PPP,Maternal_Death_Risk,Life_Expectancy,Mobile_Subscriptions_Per_1000,Infant_Mortality_per_1000,School_Enrollment_Primary_Gross,School_Enrollment_Primary_Gross_Female,School_Enrollment_Primary_Gross_Male,School_Enrollment_Secondary_Gross,School_Enrollment_Secondary_Gross_Female,School_Enrollment_Secondary_Gross_Male,School_Enrollment_Tertiary_Gross,School_Enrollment_Tertiary_Gross_Female,School_Enrollment_Tertiary_Gross_Male
ARB,14918.98824,0.581271,7.51716252,11.3387455,28.68442127,97.277672,93.68171,1.2954636,7.7354639,67.9688797,73.37789917,28.17495918,28.76799965,27.6124959
CSS,13598.9851,0.21898452,72.927549,111.7536122,17.1736747,99.75256348,98.596817,1.957261,79.3262692,82.18631744,76.55352783,22.434544,29.92413,15.87216
CEB,22693.94745,0.1637923,76.68547642,129.1291335,5.754446799,99.6465683,99.435115,99.8772434,13.322266,12.2327271,13.7911911,64.9348526,76.7737882,53.64268112
EAR,793.42671,0.465737229,69.3935364,87.555362,34.65824196,17.5891113,19.15133,16.265389,7.3768176,7.44567871,7.318643,26.78463936,26.98675919,26.594168
EAS,,0.111956827,74.92655373,13.51558,14.824724,15.429595,14.9667892,15.832231,87.9348228,88.3263293,87.5826177,39.1477234,41.4262391,37.394767
EAP,,0.12715897,73.9863844,1.7837335,15.6,15.6847763,15.224258,16.981369,86.4698328,86.921532,86.585786,36.4732166,39.1341294,34.719833
TEA,,0.12274441,74.3558763,11.891653,15.5458647,15.75497,15.29569,16.1653214,86.23194885,86.6712265,85.83154297,36.5465889,39.374866,33.93339157
EMU,37252.25481,0.978761,81.9349679,121.1215312,3.37751139,13.731369,13.4797897,13.975734,111.4196625,11.775272,112.984268,71.148773,76.2989871,65.8984639
ECS,28117.95357,0.313997,77.944935,125.642476,1.5568247,13.273915,13.1583481,13.3837738,15.9635162,15.38976,16.518871,65.872662,69.87129974,6.46873856
ECA,17977.78314,0.5554581,72.487756,127.543173,15.5,11.798225,11.687149,11.936789,98.39228821,97.34754944,99.3886152,62.6658173,64.53933,59.69636154
TEC,18438.7138,0.46835513,72.51734757,129.3791649,14.73639987,11.732193,11.64967,11.8188324,99.353284,97.95697784,1.536194,62.876698,66.5147247,59.38941956
EUU,34873.4416,0.11991112,8.92224564,123.1881492,3.8393298,14.12925,13.9448929,14.2532578,112.7937393,112.6944199,112.8883286,67.71476746,74.87194824,6.82588959
FCS,,2.319962166,61.12854152,67.9684478,57.6471573,1.349677,94.2594788,16.33535,45.536838,4.6148148,5.89451981,11.434996,9.92823286,12.8535239
HPC,1937.63218,2.5741584,6.77585892,63.15966688,54.8142648,11.733925,98.849774,15.316934,39.8661842,35.621434,44.4618835,8.1212927,6.2334987,9.99938112
HIC,42376.5634,0.16856842,8.65183291,121.923743,4.7,12.294979,12.787277,12.4995117,16.348482,16.1771774,16.51946,73.66329193,81.36269379,66.4172845
IBD,1695.2229,0.229945985,72.125951,1.5581954,24.3332444,17.38616,18.5948868,16.2825775,82.45755768,83.29762268,81.6881117,36.68431854,38.95494843,34.57487869
IBT,8865.6363,0.66163218,69.75125281,92.9913419,35.9162396,14.865242,14.387297,15.3171768,71.16118622,7.5356931,71.74449158,29.482932,3.4959218,28.3676796
IDB,4745.925959,2.321962577,6.36424683,75.85974296,62.8376529,94.119314,89.732172,98.2613969,51.54893875,48.4829483,54.45381165,14.633151,14.2944832,14.958291
IDX,2485.86139,1.898959431,63.5294813,66.616357,5.2475615,13.3951187,1.66723,16.716934,45.76176834,42.9425566,48.5224841,9.49938112,7.773159981,11.21111965
IDA,3245.743111,2.3797142,62.48267366,69.69174436,54.5117175,1.4713135,97.25678253,13.5851898,47.77656937,44.8586823,5.6734177,11.3454946,1.937995,12.57242966
LTE,,0.5942648,75.15145554,18.9476217,11.32334334,14.981715,14.5172882,15.3976898,93.9966,94.21972656,92.7447815,42.67848969,46.81694,38.8683139
LCN,14311.269,0.155277,74.93675599,114.36818,15.55731552,18.35352,17.963287,19.5585175,94.9674835,97.2361328,91.117517,44.664713,5.4229878,39.3964996
LAC,13914.4325,0.159744918,74.71285765,113.6338158,15.7,18.6385193,17.388975,19.8448792,94.217289,97.17224121,9.99977112,43.325154,48.96715,37.76575851
TLA,14267.2993,0.157437852,74.82481864,116.2459876,15.6868516,18.571787,17.3124695,19.781971,94.8927917,97.2152996,91.8959198,44.51773834,5.15948868,39.38188
LDC,238.399128,1.999799415,63.14232373,63.9292578,52.81499898,13.936922,1.232399,17.567232,42.9335126,4.1486969,45.78567886,9.594924,7.277629852,1.831995
LMY,872.24358,0.66451896,69.6818128,91.9758683,35.6,,,,,,,,,
LIC,1483.2418,2.59349573,61.25611236,54.67972575,54.7,12.8349686,99.211597,16.396431,39.25593185,35.3646573,43.8763885,7.63419781,5.36439991,9.84726475
LMC,5799.3271,0.79679311,67.1588722,87.9229318,41.1,14.1836929,15.5587616,12.975394,67.856288,67.33532715,68.3395792,23.778129,23.2718925,23.12533951
MEA,1781.494,0.259129131,72.8685896,111.6661782,2.23257682,15.265972,13.469513,17.3699265,79.41493225,76.968635,81.78759766,37.916137,38.2514351,37.59883118
MNA,1179.96248,0.291943127,72.29172343,11.964287,21.4,15.13173,12.49499,17.4179611,76.33917999,74.39714813,78.1798957,36.42274857,36.111813,36.7323684
TMN,11179.17876,0.292868244,72.2843532,12.345357,21.5557395,15.1318665,12.5838928,17.566613,76.2593262,74.1295134,78.17336273,36.3995178,35.83861923,36.76375961
MIC,9532.391551,0.458471733,7.64872862,96.17814516,31.4,14.67763,15.637589,14.32356,77.63748932,77.8225428,77.46646881,32.3698862,34.1134872,3.8169979
NAC,51655.92383,0.24823818,79.645113,17.379985,5.585846226,99.61546326,99.37332916,99.84767151,98.6585817,99.5894165,97.8577667,84.3231812,97.5233236,71.3287561
INX,,,,,,,,,,,,,,
OED,37914.57366,0.26257425,8.18213145,113.464773,6.88747986,12.4886398,12.2592392,12.778476,13.943695,14.3177414,13.585837,7.29972,75.53352356,64.72781372
OSS,2215.2565,1.8588356,66.4152626,118.695485,41.3319239,16.755232,15.624588,17.856755,66.8928641,67.5534826,66.25714874,18.346313,21.29781914,15.6778829
PSS,,0.2637879,69.91698582,74.96495366,22.7327235,11.223259,19.6986923,11.7127914,,,,,,
PST,468.85536,0.17232418,8.5256986,117.8799995,4.33739389,12.19923,11.8117828,12.218334,16.3963623,16.582423,16.219841,75.5663241,82.87281799,68.6357843
