Country Code,"GNI per capita, PPP (constant 2011 international $)",Lifetime risk of maternal death (%),"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
ARB,14918.98824,0.580102071,70.51716252,110.3387455,28.68442127,97.02707672,93.60800171,100.2954636,70.73504639,67.9688797,73.37789917,28.17495918,28.76799965,27.61240959
CSS,13598.98051,0.21898452,72.90027549,111.7536122,17.17306747,99.75256348,98.5096817,100.9572601,79.32602692,82.18631744,76.55352783,22.43045044,29.92004013,15.08720016
CEB,22693.94745,0.016037923,76.68547642,129.1291335,5.754446799,99.6465683,99.40351105,99.87724304,103.0322266,102.2327271,103.7911911,64.9348526,76.77378082,53.64268112
EAR,7930.42671,0.465737229,69.03935364,87.55503062,34.65824196,107.5891113,109.0105133,106.2653809,70.37068176,70.44567871,70.30108643,26.78463936,26.98675919,26.59416008
EAS,0,0.111956827,74.92655373,103.5105508,14.80240724,105.4209595,104.9667892,105.8302231,87.93482208,88.32063293,87.58206177,39.14772034,41.42623901,37.03947067
EAP,0,0.120715897,73.9863844,100.7837335,15.6,105.6847763,105.2242508,106.0981369,86.46098328,86.90215302,86.05857086,36.47032166,39.13412094,34.00719833
TEA,0,0.120274441,74.03558763,101.8901653,15.54508647,105.754097,105.2956009,106.1653214,86.23194885,86.6712265,85.83154297,36.5465889,39.37408066,33.93339157
EMU,37252.25481,0.00978761,81.93490679,121.1215312,3.377511309,103.731369,103.4797897,103.9705734,111.4196625,110.7075272,112.0984268,71.00148773,76.29898071,65.89846039
ECS,28117.95357,0.030130997,77.0944935,125.6424706,10.05568247,103.2739105,103.1583481,103.3837738,105.9635162,105.3890076,106.5108871,65.08072662,69.87129974,60.46873856
ECA,17977.78314,0.050554581,72.04877056,127.5431703,15.5,101.7982025,101.687149,101.9036789,98.39228821,97.34754944,99.38806152,62.06658173,64.53009033,59.69636154
TEC,18438.07138,0.046835513,72.51734757,129.3791649,14.73639987,101.732193,101.6409607,101.8188324,99.03053284,97.95697784,100.0536194,62.8766098,66.50147247,59.38941956
EUU,34873.40416,0.011991112,80.92224564,123.1881492,3.839302098,104.1029205,103.9448929,104.2532578,112.7937393,112.6944199,112.8883286,67.71476746,74.87194824,60.82588959
FCS,0,2.319962166,61.12854152,67.96840478,57.6471573,100.3490677,94.20594788,106.33535,45.53680038,40.06148148,50.89451981,11.4034996,9.928230286,12.85352039
HPC,1937.63218,2.574105084,60.77585892,63.15966688,54.80142648,101.7303925,98.08049774,105.3160934,39.86618042,35.62104034,44.04618835,8.121290207,6.23304987,9.999380112
HIC,42376.50634,0.016856842,80.65183291,121.9237403,4.7,102.2940979,102.0787277,102.4995117,106.3484802,106.1771774,106.5109406,73.66329193,81.36269379,66.41072845
IBD,10695.2229,0.229945985,72.1250951,100.5581954,24.33320444,107.3860016,108.5948868,106.2825775,82.45755768,83.29762268,81.68801117,36.68431854,38.95494843,34.57487869
IBT,8865.60363,0.661632108,69.75125281,92.99103419,35.91602396,104.865242,104.3807297,105.3171768,71.16118622,70.53569031,71.74449158,29.40082932,30.49592018,28.3676796
IDB,4745.925959,2.321962577,60.36424683,75.85974296,62.80376529,94.1109314,89.73020172,98.26139069,51.54893875,48.4829483,54.45381165,14.6331501,14.29448032,14.9582901
IDX,2485.860139,1.898959431,63.52948013,66.61060357,50.24705615,103.3951187,100.6600723,106.0716934,45.76176834,42.94255066,48.52024841,9.499380112,7.773159981,11.21111965
IDA,3245.743111,2.037907142,62.48267366,69.69174436,54.51107175,100.4713135,97.25678253,103.5851898,47.77656937,44.85086823,50.60734177,11.34549046,10.09370995,12.57242966
LTE,0,0.059402648,75.15145554,108.9476217,11.32334334,104.9810715,104.5172882,105.3976898,93.09906006,94.21972656,92.07447815,42.67848969,46.80160904,38.86830139
LCN,14311.20069,0.155002077,74.93675599,114.360818,15.55731552,108.3530502,107.0963287,109.5585175,94.09674835,97.20361328,91.11705017,44.66407013,50.42290878,39.03964996
LAC,13914.04325,0.159744918,74.71285765,113.6338158,15.7,108.6385193,107.3808975,109.8448792,94.02172089,97.17224121,90.99977112,43.30205154,48.9670105,37.76575851
TLA,14267.2993,0.157437852,74.82481864,116.2459876,15.68608516,108.5717087,107.3124695,109.7801971,94.08927917,97.21520996,91.08959198,44.51773834,50.15948868,39.00381088
LDC,2308.399128,1.999799415,63.14232373,63.09292578,52.81499898,103.9369202,100.2302399,107.5672302,42.93035126,40.01486969,45.78567886,9.059490204,7.277629852,10.83001995
LMY,8702.024358,0.664510896,69.68018128,91.97508683,35.6,0,0,0,0,0,0,0,0,0
LIC,1483.240018,2.590349573,61.25611236,54.67972575,54.7,102.8349686,99.2115097,106.396431,39.25593185,35.36465073,43.08763885,7.603419781,5.36439991,9.847260475
LMC,5799.3271,0.796793101,67.15880722,87.92029318,41.1,104.1836929,105.5587616,102.9075394,67.8562088,67.33532715,68.33905792,23.07781029,23.02718925,23.12533951
MEA,17081.00494,0.259129131,72.86805896,111.6661782,20.23257682,105.2605972,103.0469513,107.3699265,79.41493225,76.90686035,81.78759766,37.91613007,38.25143051,37.59883118
MNA,11079.96248,0.291943127,72.29172343,101.9640287,21.4,105.0131073,102.4904099,107.4179611,76.33917999,74.39714813,78.17980957,36.42274857,36.10118103,36.73236084
TMN,11179.17876,0.292868244,72.28435302,102.345357,21.5557395,105.1318665,102.5838928,107.5606613,76.20593262,74.12950134,78.17336273,36.30995178,35.83861923,36.76375961
MIC,9532.391551,0.458471733,70.64872862,96.17814516,31.4,104.677063,105.0637589,104.3203506,77.63748932,77.82254028,77.46646881,32.36098862,34.01134872,30.81690979
NAC,51655.92383,0.024823818,79.0645113,107.3079985,5.585846226,99.61546326,99.37332916,99.84767151,98.65805817,99.50894165,97.85077667,84.03231812,97.52332306,71.32875061
INX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OED,37914.57366,0.026257425,80.18213145,113.4640773,6.088747986,102.4886398,102.2592392,102.7078476,103.9430695,104.3177414,103.5858307,70.00299072,75.53352356,64.72781372
OSS,22105.20565,1.085883506,66.41520626,118.6950485,41.33109239,106.7552032,105.624588,107.8567505,66.89286041,67.55348206,66.25714874,18.34630013,21.29781914,15.67788029
PSS,0,0.263780079,69.91698582,74.96495366,22.73272035,110.223259,109.6986923,110.7127914,0,0,0,0,0,0
PST,40608.85536,0.017232418,80.52569806,117.8799995,4.337039389,102.0199203,101.8117828,102.2183304,106.3963623,106.5824203,106.219841,75.56603241,82.87281799,68.63507843
PRE,3310.568251,3.192689488,58.33568214,68.7507126,60.36112639,98.23310089,93.46630096,102.888031,41.10237885,36.3888588,45.71458054,7.953849792,6.173590183,9.70991993
SST,19486.00667,0.870888402,67.82190004,114.7616701,36.87353591,105.8426819,104.7314987,106.9210663,69.6917572,70.8939209,68.53658295,18.54361916,22.21904945,15.15913963
SAS,5021.985899,0.528087655,68.11628683,75.10159615,43.3,109.0774231,112.5073776,105.9638138,64.79342651,64.41806793,65.13510132,20.83864021,19.94732094,21.65908051
