ISO_country_code,Country,Sub_national_region,World_region,MPI_National,MPI_Regional,Headcount_Ratio_Regional,Intensity_of_deprivation_Regional
AFG,Afghanistan,Badakhshan,South Asia,0.295,0.387,67.5,57.3
AFG,Afghanistan,Badghis,South Asia,0.295,0.466,79.3,58.8
AFG,Afghanistan,Baghlan,South Asia,0.295,0.3,59.7,50.3
AFG,Afghanistan,Balkh,South Asia,0.295,0.301,55.7,54.1
AFG,Afghanistan,Bamyan,South Asia,0.295,0.325,61,53.3
AFG,Afghanistan,Daykundi,South Asia,0.295,0.313,65.1,48.1
AFG,Afghanistan,Farah,South Asia,0.295,0.319,61.4,52
AFG,Afghanistan,Faryab,South Asia,0.295,0.25,49.4,50.6
AFG,Afghanistan,Ghazni,South Asia,0.295,0.245,47.4,51.6
AFG,Afghanistan,Ghor,South Asia,0.295,0.384,74.6,51.5
AFG,Afghanistan,Helmand,South Asia,0.295,0.261,61.8,42.2
AFG,Afghanistan,Herat,South Asia,0.295,0.353,63.3,55.8
AFG,Afghanistan,Jawzjan,South Asia,0.295,0.293,60.9,48.1
AFG,Afghanistan,Kabul,South Asia,0.295,0.117,25.3,46.1
AFG,Afghanistan,Kandahar,South Asia,0.295,0.437,72.1,60.7
AFG,Afghanistan,Kapisa,South Asia,0.295,0.28,53.6,52.3
AFG,Afghanistan,Khost,South Asia,0.295,0.296,57.8,51.1
AFG,Afghanistan,Kunarha,South Asia,0.295,0.269,58.3,46.2
AFG,Afghanistan,Kunduz,South Asia,0.295,0.294,60.5,48.5
AFG,Afghanistan,Laghman,South Asia,0.295,0.369,70.4,52.4
AFG,Afghanistan,Logar,South Asia,0.295,0.187,41.4,45.2
AFG,Afghanistan,Nangarhar,South Asia,0.295,0.287,54.9,52.4
AFG,Afghanistan,Nimroz,South Asia,0.295,0.231,45.4,50.9
AFG,Afghanistan,Nooristan,South Asia,0.295,0.611,93.7,65.2
AFG,Afghanistan,Paktika,South Asia,0.295,0.137,28.1,48.6
AFG,Afghanistan,Paktya,South Asia,0.295,0.218,45.2,48.3
AFG,Afghanistan,Panjsher,South Asia,0.295,0.12,25.8,46.6
AFG,Afghanistan,Parwan,South Asia,0.295,0.294,58.6,50.1
AFG,Afghanistan,Samangan,South Asia,0.295,0.35,64.3,54.4
AFG,Afghanistan,Sar-E-Pul,South Asia,0.295,0.341,67.8,50.3
AFG,Afghanistan,Takhar,South Asia,0.295,0.361,65.1,55.4
AFG,Afghanistan,Urozgan,South Asia,0.295,0.624,94.5,66
AFG,Afghanistan,Wardak,South Asia,0.295,0.34,67.9,50.1
AFG,Afghanistan,Zabul,South Asia,0.295,0.175,34.6,50.4
BDI,Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.454,0.164,36.3,45.3
BDI,Burundi,Nord,Sub-Saharan Africa,0.454,0.501,85.7,58.4
BDI,Burundi,Centre-Est,Sub-Saharan Africa,0.454,0.473,83.6,56.5
BDI,Burundi,Ouest,Sub-Saharan Africa,0.454,0.499,87.8,56.8
BDI,Burundi,Sud,Sub-Saharan Africa,0.454,0.422,78.9,53.5
BEN,Benin,Alibori,Sub-Saharan Africa,0.307,0.528,92.7,57
BEN,Benin,Atacora,Sub-Saharan Africa,0.307,0.454,85.7,53
BEN,Benin,Atlantique,Sub-Saharan Africa,0.307,0.278,57.3,48.5
BEN,Benin,Borgou,Sub-Saharan Africa,0.307,0.351,71.4,49.2
BEN,Benin,Collines,Sub-Saharan Africa,0.307,0.292,62,47.1
BEN,Benin,Couffo,Sub-Saharan Africa,0.307,0.345,71.2,48.5
BEN,Benin,Donga,Sub-Saharan Africa,0.307,0.335,70.2,47.7
BEN,Benin,Littoral,Sub-Saharan Africa,0.307,0.083,20.1,41.4
BEN,Benin,Mono,Sub-Saharan Africa,0.307,0.259,56.1,46.1
